subj,trial,condition,target,respond,error,trial_duration_msec,reproduction_duration_msec,fb,fb_true,fb_offset,fb_time,GoodTrial
04,90,FB,2.830276,2.29915,-0.531126,7108,3243,0.4977711,1.415138,-0.9173669,,1
04,91,FB,3.74891,4.733506,0.9845953,9197,5187,3.292291,1.874455,1.417836,,1
04,92,FB,7.098907,5.683912,-1.414995,13993,6629,3.2031229,3.5494535,-0.3463306,,1
04,93,FB,5.8369,6.936002,1.099102,12561,6575,3.676796,2.91845,0.758346,,1
04,94,FB,5.089231,5.526523,0.4372926,12607,6487,3.6498715,2.5446155,1.105256,,1
04,95,FB,2.942642,2.121082,-0.8215597,6654,2787,2.0953222,1.471321,0.6240012,,1
04,96,FB,7.029072,6.754382,-0.2746902,13995,6820,4.2455119,3.514536,0.7309759,,1
04,97,FB,3.054779,2.079527,-0.9752524,6243,2644,0.8368757,1.5273895,-0.6905138,,1
04,98,FB,3.647378,2.243124,-1.404254,6843,3110,0.470218,1.823689,-1.353471,,1
04,99,FB,4.347951,3.995271,-0.3526807,8946,4310,2.3653984,2.1739755,0.1914229,,1
04,100,FB,4.851213,4.355506,-0.4957066,9874,4876,1.2556245,2.4256065,-1.169982,,1
04,101,FB,2.997363,1.987584,-1.009779,4977,2388,0.9074323,1.4986815,-0.5912492,,1
04,102,FB,2.240455,1.591425,-0.64903,4633,1911,0.3644075,1.1202275,-0.75582,,1
04,103,FB,7.588243,4.539692,-3.048551,14085,4888,3.4836717,3.7941215,-0.3104498,,1
04,104,FB,3.420671,3.572723,0.1520524,7409,3555,2.5659348,1.7103355,0.8555993,,1
04,105,FB,7.779768,6.006189,-1.773579,14307,6455,2.8945209,3.889884,-0.9953631,,1
04,106,FB,7.271037,5.012779,-2.258258,12408,5198,5.1318555,3.6355185,1.496337,,1
04,107,FB,7.283868,6.33855,-0.9453182,13040,6253,3.641934,3.641934,-0,,1
04,108,FB,6.260443,6.956149,0.6957059,11797,6331,4.3540195,3.1302215,1.223798,,1
04,109,FB,5.854679,4.017955,-1.836724,9385,4288,1.8204175,2.9273395,-1.106922,,1
04,110,FB,6.984292,5.524122,-1.46017,11926,5439,3.0647175,3.492146,-0.4274285,,1
04,111,FB,2.709743,1.61653,-1.093213,5967,3155,0.0213045000000001,1.3548715,-1.333567,,1
04,112,FB,7.444982,4.420136,-3.024846,12507,5432,2.532868,3.722491,-1.189623,,1
04,113,FB,6.362648,3.870031,-2.492617,11074,4742,2.7038554,3.181324,-0.4774686,,1
